,pickup_datetime,dateandhour,trip_miles,trip_time,trip_minutes,base_passenger_fare,driver_pay,hour,temp,precipitation,tips
1232210,2022-04-06 07:20:39-04:00,2022-04-06 07,11.88,2378,39.63333333333333,53.37,37.38,7,47.8,2.3,0.0
2051874,2022-04-07 22:18:05-04:00,2022-04-07 22,1.41,414,6.9,8.02,6.67,22,52.6,4.2,0.0
2436366,2022-04-08 20:57:07-04:00,2022-04-08 20,14.97,2258,37.63333333333333,40.46,38.68,20,54.5,0.0,0.0
2566572,2022-04-09 00:59:27-04:00,2022-04-09 00,2.97,712,11.866666666666667,13.89,9.73,0,50.8,0.0,0.0
1377301,2022-04-06 13:29:52-04:00,2022-04-06 13,5.81,1634,27.233333333333334,30.24,21.19,13,51.2,0.0,3.65
2303134,2022-04-08 14:04:07-04:00,2022-04-08 14,0.43,273,4.55,9.16,8.72,14,59.7,0.0,0.0
2872560,2022-04-09 17:02:31-04:00,2022-04-09 17,2.23,896,14.933333333333334,14.88,11.18,17,52.2,0.0,0.0
153639,2022-04-03 10:53:46-04:00,2022-04-03 10,11.21,2568,42.8,44.61,35.65,10,45.8,1.8,0.0
1744432,2022-04-07 11:50:36-04:00,2022-04-07 11,14.5,2036,33.93333333333333,51.39,38.72,11,48.1,0.2,0.0
2817954,2022-04-09 15:54:27-04:00,2022-04-09 15,1.53,1061,17.683333333333334,14.82,13.31,15,53.2,0.0,0.0
2898950,2022-04-09 18:23:57-04:00,2022-04-09 18,2.59,707,11.783333333333333,12.25,9.39,18,52.1,0.0,0.0
494211,2022-04-04 07:53:53-04:00,2022-04-04 07,8.75,2724,45.4,45.18,35.3,7,42.2,0.0,0.0
732587,2022-04-04 20:45:29-04:00,2022-04-04 20,16.43,2376,39.6,42.2,41.0,20,50.1,0.0,7.5
2294411,2022-04-08 14:59:12-04:00,2022-04-08 14,1.34,675,11.25,10.92,9.11,14,59.7,0.0,0.0
839226,2022-04-05 07:13:49-04:00,2022-04-05 07,6.45,2380,39.666666666666664,35.44,30.66,7,42.6,0.0,0.0
1831622,2022-04-07 15:16:09-04:00,2022-04-07 15,1.08,397,6.616666666666666,6.47,6.23,15,50.3,3.6,0.0
2897463,2022-04-09 18:09:24-04:00,2022-04-09 18,1.94,1022,17.033333333333335,13.13,13.48,18,52.1,0.0,1.0
415388,2022-04-03 22:54:13-04:00,2022-04-03 22,9.06,1382,23.033333333333335,43.03,35.53,22,41.4,0.0,0.0
406795,2022-04-03 22:23:07-04:00,2022-04-03 22,1.94,480,8.0,10.9,6.48,22,41.4,0.0,1.0
1268687,2022-04-06 08:31:33-04:00,2022-04-06 08,15.81,2861,47.68333333333333,121.22,69.01,8,48.1,1.8,0.0
504176,2022-04-04 08:18:51-04:00,2022-04-04 08,3.35,1435,23.916666666666668,19.59,20.29,8,43.8,0.0,0.0
441419,2022-04-04 00:05:06-04:00,2022-04-04 00,18.27,1753,29.216666666666665,44.88,45.48,0,41.0,0.0,0.0
2278383,2022-04-08 13:13:17-04:00,2022-04-08 13,0.8,468,7.8,7.91,5.4,13,58.8,0.0,0.0
1504470,2022-04-06 19:13:48-04:00,2022-04-06 19,0.59,291,4.85,8.7,5.77,19,50.3,0.0,0.0
381368,2022-04-03 20:24:00-04:00,2022-04-03 20,1.6,366,6.1,7.91,7.87,20,44.6,0.0,0.0
969101,2022-04-05 14:54:55-04:00,2022-04-05 14,3.08,1559,25.983333333333334,25.56,17.99,14,52.2,0.0,0.0
1302264,2022-04-06 10:20:49-04:00,2022-04-06 10,8.3,1616,26.933333333333334,52.57,40.01,10,49.9,0.4,0.0
2179989,2022-04-08 08:31:33-04:00,2022-04-08 08,2.64,1101,18.35,17.15,14.8,8,50.7,0.0,0.0
2284501,2022-04-08 14:06:30-04:00,2022-04-08 14,12.23,6489,108.15,129.7,73.42,14,59.7,0.0,0.0
1058238,2022-04-05 18:39:21-04:00,2022-04-05 18,2.85,1064,17.733333333333334,23.35,23.37,18,49.4,0.0,0.0
1750558,2022-04-07 12:03:48-04:00,2022-04-07 12,12.93,2236,37.266666666666666,43.49,42.36,12,48.3,0.2,0.0
431453,2022-04-03 23:57:42-04:00,2022-04-03 23,8.11,993,16.55,23.85,19.78,23,41.5,0.0,0.0
1906041,2022-04-07 17:27:33-04:00,2022-04-07 17,5.21,1630,27.166666666666668,28.21,25.9,17,51.3,1.5,0.0
2989169,2022-04-09 21:02:11-04:00,2022-04-09 21,1.23,451,7.516666666666667,17.65,13.69,21,49.6,0.0,2.25
905574,2022-04-05 10:03:58-04:00,2022-04-05 10,2.79,1000,16.666666666666668,17.77,13.18,10,49.9,0.0,0.0
2154793,2022-04-08 07:57:58-04:00,2022-04-08 07,12.54,3192,53.2,39.56,47.52,7,49.3,0.0,0.0
48666,2022-04-03 01:19:28-04:00,2022-04-03 01,1.13,343,5.716666666666667,7.72,6.25,1,42.6,0.0,0.0
496877,2022-04-04 07:36:49-04:00,2022-04-04 07,0.91,412,6.866666666666666,9.42,6.9,7,42.2,0.0,0.0
2822265,2022-04-09 15:57:04-04:00,2022-04-09 15,7.73,3029,50.483333333333334,38.67,36.08,15,53.2,0.0,0.0
143437,2022-04-03 09:19:59-04:00,2022-04-03 09,5.77,1461,24.35,26.2,19.73,9,45.1,1.2,4.81
58033,2022-04-03 02:13:19-04:00,2022-04-03 02,10.62,1610,26.833333333333332,48.54,33.05,2,42.4,0.0,5.7
2189801,2022-04-08 09:40:19-04:00,2022-04-08 09,0.01,240,4.0,-3.69,4.28,9,51.9,0.0,0.0
535497,2022-04-04 09:08:37-04:00,2022-04-04 09,8.57,1252,20.866666666666667,31.04,22.87,9,45.4,0.0,0.0
2352836,2022-04-08 17:13:31-04:00,2022-04-08 17,1.36,528,8.8,18.11,14.65,17,58.2,0.0,0.0
306815,2022-04-03 17:04:48-04:00,2022-04-03 17,1.66,950,15.833333333333334,11.07,12.02,17,46.7,0.0,0.0
2772181,2022-04-09 13:19:20-04:00,2022-04-09 13,1.79,1239,20.65,15.33,13.01,13,52.0,0.2,3.0
2568423,2022-04-09 00:05:38-04:00,2022-04-09 00,4.98,1628,27.133333333333333,24.75,21.9,0,50.8,0.0,0.0
1042326,2022-04-05 17:29:34-04:00,2022-04-05 17,4.57,1362,22.7,22.76,17.44,17,49.4,0.0,0.0
2063775,2022-04-07 23:02:43-04:00,2022-04-07 23,4.45,1348,22.466666666666665,42.19,27.43,23,52.6,5.7,0.0
2781301,2022-04-09 14:32:23-04:00,2022-04-09 14,2.38,1263,21.05,19.51,15.57,14,53.2,0.0,3.27
2535321,2022-04-08 23:12:41-04:00,2022-04-08 23,1.32,360,6.0,9.9,7.7,23,51.7,0.0,0.0
1499246,2022-04-06 19:44:50-04:00,2022-04-06 19,6.42,1265,21.083333333333332,27.53,19.47,19,50.3,0.0,0.0
1911907,2022-04-07 18:26:19-04:00,2022-04-07 18,2.2,627,10.45,21.02,13.99,18,51.2,0.9,0.0
588410,2022-04-04 12:32:57-04:00,2022-04-04 12,1.04,402,6.7,8.43,6.85,12,51.1,0.0,3.0
1558374,2022-04-06 22:36:49-04:00,2022-04-06 22,2.68,857,14.283333333333333,16.12,11.34,22,48.9,0.0,0.0
260428,2022-04-03 15:36:31-04:00,2022-04-03 15,0.78,306,5.1,8.27,6.59,15,45.6,0.1,2.0
2386391,2022-04-08 18:32:14-04:00,2022-04-08 18,17.3,3639,60.65,50.38,52.18,18,56.9,0.0,0.0
199592,2022-04-03 12:21:17-04:00,2022-04-03 12,1.02,811,13.516666666666667,7.89,9.47,12,45.8,0.7,0.0
1983461,2022-04-07 20:44:50-04:00,2022-04-07 20,2.37,606,10.1,12.91,8.42,20,52.0,2.9,0.0
930795,2022-04-05 11:59:09-04:00,2022-04-05 11,24.15,2532,42.2,65.99,54.65,11,51.0,0.0,0.0
2395761,2022-04-08 18:20:23-04:00,2022-04-08 18,0.9,862,14.366666666666667,12.43,9.17,18,56.9,0.0,0.0
1361601,2022-04-06 13:31:38-04:00,2022-04-06 13,3.63,843,14.05,16.15,11.65,13,51.2,0.0,0.0
2807026,2022-04-09 15:57:07-04:00,2022-04-09 15,3.9,1585,26.416666666666668,28.13,18.5,15,53.2,0.0,0.0
1703649,2022-04-07 09:48:47-04:00,2022-04-07 09,3.63,1434,23.9,24.17,17.56,9,48.0,0.0,2.54
2734631,2022-04-09 11:39:17-04:00,2022-04-09 11,1.77,595,9.916666666666666,11.0,8.46,11,51.4,0.2,0.0
263768,2022-04-03 15:09:23-04:00,2022-04-03 15,11.7,3052,50.86666666666667,71.14,45.6,15,45.6,0.1,0.0
1444621,2022-04-06 17:54:12-04:00,2022-04-06 17,3.35,1252,20.866666666666667,19.74,15.93,17,51.1,0.0,0.0
2325759,2022-04-08 15:14:18-04:00,2022-04-08 15,2.18,900,15.0,28.82,15.1,15,60.2,0.0,0.0
452880,2022-04-04 02:55:01-04:00,2022-04-04 02,2.54,662,11.033333333333333,13.21,11.33,2,41.3,0.0,0.0
2982038,2022-04-09 21:28:37-04:00,2022-04-09 21,2.48,955,15.916666666666666,19.48,14.01,21,49.6,0.0,2.17
402701,2022-04-03 22:20:59-04:00,2022-04-03 22,2.66,957,15.95,15.35,13.63,22,41.4,0.0,0.0
363627,2022-04-03 20:14:57-04:00,2022-04-03 20,1.44,547,9.116666666666667,15.98,14.0,20,44.6,0.0,0.0
76575,2022-04-03 03:00:58-04:00,2022-04-03 03,2.3,465,7.75,10.01,10.87,3,42.2,0.0,0.0
2741429,2022-04-09 12:27:49-04:00,2022-04-09 12,2.64,930,15.5,18.71,13.7,12,51.5,0.2,4.18
2782391,2022-04-09 14:08:01-04:00,2022-04-09 14,8.55,1579,26.316666666666666,32.76,23.85,14,53.2,0.0,0.0
3043481,2022-04-09 23:32:46-04:00,2022-04-09 23,10.63,1224,20.4,30.85,23.14,23,47.6,0.0,0.0
627417,2022-04-04 14:47:54-04:00,2022-04-04 14,1.7,1392,23.2,12.62,14.25,14,52.1,0.0,0.0
242640,2022-04-03 14:28:14-04:00,2022-04-03 14,1.67,665,11.083333333333334,11.11,7.81,14,44.4,0.3,0.0
2001291,2022-04-07 20:05:37-04:00,2022-04-07 20,1.15,528,8.8,10.72,10.97,20,52.0,2.9,0.0
575161,2022-04-04 11:22:34-04:00,2022-04-04 11,5.89,1158,19.3,21.98,17.18,11,49.4,0.0,0.0
1588426,2022-04-06 23:39:05-04:00,2022-04-06 23,5.61,1472,24.533333333333335,27.62,19.49,23,48.7,0.0,0.0
90564,2022-04-03 04:08:22-04:00,2022-04-03 04,0.72,246,4.1,9.1,8.82,4,42.4,0.0,0.0
223047,2022-04-03 13:05:28-04:00,2022-04-03 13,2.8,899,14.983333333333333,20.05,11.39,13,45.5,0.3,0.0
1268432,2022-04-06 08:33:06-04:00,2022-04-06 08,0.95,690,11.5,8.49,11.3,8,48.1,1.8,0.0
813863,2022-04-05 04:56:24-04:00,2022-04-05 04,2.99,534,8.9,11.44,8.18,4,42.2,0.0,0.0
1964040,2022-04-07 19:09:44-04:00,2022-04-07 19,15.55,2043,34.05,48.83,36.07,19,51.4,1.8,10.12
504434,2022-04-04 08:57:24-04:00,2022-04-04 08,1.74,932,15.533333333333333,12.43,10.79,8,43.8,0.0,0.0
2567138,2022-04-09 00:14:29-04:00,2022-04-09 00,2.07,437,7.283333333333333,10.98,6.26,0,50.8,0.0,0.0
1228258,2022-04-06 07:45:09-04:00,2022-04-06 07,2.71,1185,19.75,13.45,22.92,7,47.8,2.3,0.0
2871896,2022-04-09 17:27:48-04:00,2022-04-09 17,5.66,1246,20.766666666666666,22.83,17.56,17,52.2,0.0,0.0
2552963,2022-04-09 00:08:56-04:00,2022-04-09 00,2.46,675,11.25,14.16,8.82,0,50.8,0.0,3.0
880074,2022-04-05 09:05:56-04:00,2022-04-05 09,4.43,1497,24.95,20.61,18.35,9,46.6,0.0,0.0
2472044,2022-04-08 21:24:52-04:00,2022-04-08 21,0.9,291,4.85,9.01,6.18,21,53.5,0.0,1.0
277186,2022-04-03 15:53:25-04:00,2022-04-03 15,2.1,745,12.416666666666666,14.17,9.01,15,45.6,0.1,3.0
1546094,2022-04-06 21:40:26-04:00,2022-04-06 21,2.52,846,14.1,20.58,12.56,21,49.8,0.0,0.0
508554,2022-04-04 08:40:41-04:00,2022-04-04 08,17.32,3973,66.21666666666667,61.81,56.54,8,43.8,0.0,0.0
1566765,2022-04-06 22:44:29-04:00,2022-04-06 22,1.29,530,8.833333333333334,15.82,15.37,22,48.9,0.0,0.0
1913069,2022-04-07 18:53:32-04:00,2022-04-07 18,0.65,139,2.316666666666667,7.91,5.46,18,51.2,0.9,0.0
192453,2022-04-03 12:08:28-04:00,2022-04-03 12,0.92,427,7.116666666666666,15.1,13.87,12,45.8,0.7,0.0
3054534,2022-04-09 23:15:35-04:00,2022-04-09 23,6.43,1226,20.433333333333334,25.81,24.14,23,47.6,0.0,0.0
2909872,2022-04-09 19:26:56-04:00,2022-04-09 19,3.16,1162,19.366666666666667,29.62,21.67,19,51.4,0.0,0.0
1217835,2022-04-06 07:31:56-04:00,2022-04-06 07,2.65,1009,16.816666666666666,26.08,14.97,7,47.8,2.3,5.83
1697776,2022-04-07 09:57:47-04:00,2022-04-07 09,1.95,1239,20.65,33.02,22.24,9,48.0,0.0,0.0
1777568,2022-04-07 13:57:59-04:00,2022-04-07 13,1.87,777,12.95,15.78,9.02,13,48.8,0.1,0.0
2567226,2022-04-09 00:00:26-04:00,2022-04-09 00,1.49,715,11.916666666666666,18.11,13.03,0,50.8,0.0,0.0
2992069,2022-04-09 21:49:48-04:00,2022-04-09 21,12.45,2377,39.61666666666667,51.65,36.44,21,49.6,0.0,0.0
2766432,2022-04-09 13:46:13-04:00,2022-04-09 13,3.01,625,10.416666666666666,12.77,9.01,13,52.0,0.2,0.0
2772650,2022-04-09 13:45:27-04:00,2022-04-09 13,8.64,1959,32.65,27.96,27.83,13,52.0,0.2,0.0
956953,2022-04-05 13:38:34-04:00,2022-04-05 13,3.58,580,9.666666666666666,15.12,11.97,13,52.5,0.0,0.0
1036369,2022-04-05 17:23:50-04:00,2022-04-05 17,3.56,1557,25.95,22.11,18.7,17,49.4,0.0,0.0
1656346,2022-04-07 07:33:03-04:00,2022-04-07 07,0.98,401,6.683333333333334,8.64,6.52,7,46.8,0.0,0.0
2448408,2022-04-08 20:46:21-04:00,2022-04-08 20,4.84,1006,16.766666666666666,18.51,17.49,20,54.5,0.0,0.0
862945,2022-04-05 08:24:02-04:00,2022-04-05 08,3.04,997,16.616666666666667,19.45,12.61,8,44.4,0.0,0.0
2651586,2022-04-09 06:43:22-04:00,2022-04-09 06,3.58,887,14.783333333333333,17.49,12.56,6,48.1,0.1,0.0
1298865,2022-04-06 09:01:20-04:00,2022-04-06 09,1.07,328,5.466666666666667,12.1,13.62,9,48.4,0.5,0.0
300688,2022-04-03 17:25:35-04:00,2022-04-03 17,3.79,1429,23.816666666666666,19.56,17.0,17,46.7,0.0,0.0
1516581,2022-04-06 20:50:14-04:00,2022-04-06 20,9.62,1795,29.916666666666668,46.98,33.06,20,50.0,0.0,0.0
