,pickup_datetime,dateandhour,trip_miles,trip_time,trip_minutes,base_passenger_fare,driver_pay,hour,temp,precipitation,tips
2441303,2022-04-08 20:57:13-04:00,2022-04-08 20,8.41,1458,24.3,35.13,32.54,20,54.5,0.0,0.0
2973862,2022-04-09 21:26:31-04:00,2022-04-09 21,36.06,2741,45.68333333333333,102.21,74.88,21,49.6,0.0,0.0
1784592,2022-04-07 13:41:52-04:00,2022-04-07 13,23.3,3488,58.13333333333333,61.78,57.81,13,48.8,0.1,0.0
1458323,2022-04-06 17:15:38-04:00,2022-04-06 17,1.0,340,5.666666666666667,8.27,5.49,17,51.1,0.0,0.0
252176,2022-04-03 14:59:02-04:00,2022-04-03 14,0.71,415,6.916666666666667,9.44,8.27,14,44.4,0.3,1.0
2359977,2022-04-08 17:20:02-04:00,2022-04-08 17,7.14,1191,19.85,26.8,18.79,17,58.2,0.0,0.0
2028336,2022-04-07 21:54:37-04:00,2022-04-07 21,1.37,571,9.516666666666667,12.41,7.45,21,52.5,3.4,0.0
430197,2022-04-03 23:33:31-04:00,2022-04-03 23,7.34,1157,19.283333333333335,28.39,20.5,23,41.5,0.0,0.0
2293191,2022-04-08 14:36:06-04:00,2022-04-08 14,1.16,426,7.1,10.29,9.79,14,59.7,0.0,0.0
35637,2022-04-03 01:17:44-04:00,2022-04-03 01,0.28,181,3.0166666666666666,11.58,9.98,1,42.6,0.0,0.0
1462874,2022-04-06 17:22:12-04:00,2022-04-06 17,1.88,1184,19.733333333333334,19.56,18.16,17,51.1,0.0,0.0
1905115,2022-04-07 17:32:10-04:00,2022-04-07 17,1.77,568,9.466666666666667,9.04,8.75,17,51.3,1.5,0.0
2488276,2022-04-08 21:21:10-04:00,2022-04-08 21,0.71,372,6.2,9.44,13.69,21,53.5,0.0,1.0
482549,2022-04-04 07:31:11-04:00,2022-04-04 07,1.52,312,5.2,8.27,5.39,7,42.2,0.0,0.0
1236644,2022-04-06 07:55:21-04:00,2022-04-06 07,1.44,676,11.266666666666667,14.67,9.63,7,47.8,2.3,0.0
398670,2022-04-03 21:50:07-04:00,2022-04-03 21,10.84,1752,29.2,44.09,33.02,21,43.0,0.0,10.0
2858486,2022-04-09 17:47:50-04:00,2022-04-09 17,7.8,2492,41.53333333333333,35.99,31.02,17,52.2,0.0,3.2
620027,2022-04-04 14:14:31-04:00,2022-04-04 14,1.7,600,10.0,10.88,10.41,14,52.1,0.0,0.0
2994274,2022-04-09 21:34:03-04:00,2022-04-09 21,4.04,1158,19.3,22.44,31.09,21,49.6,0.0,0.0
2361298,2022-04-08 17:05:20-04:00,2022-04-08 17,1.51,810,13.5,10.95,9.24,17,58.2,0.0,0.0
1565723,2022-04-06 22:33:16-04:00,2022-04-06 22,4.85,1639,27.316666666666666,23.79,20.08,22,48.9,0.0,2.89
2240294,2022-04-08 11:46:49-04:00,2022-04-08 11,5.19,2059,34.31666666666667,25.73,24.18,11,56.8,0.0,0.0
232680,2022-04-03 13:29:20-04:00,2022-04-03 13,1.17,276,4.6,8.27,8.27,13,45.5,0.3,0.0
1895121,2022-04-07 17:45:21-04:00,2022-04-07 17,27.51,5591,93.18333333333334,125.43,83.89,17,51.3,1.5,0.0
2403588,2022-04-08 19:40:15-04:00,2022-04-08 19,7.54,1573,26.216666666666665,32.76,29.0,19,55.7,0.0,0.0
2442828,2022-04-08 20:53:14-04:00,2022-04-08 20,2.38,613,10.216666666666667,14.4,8.98,20,54.5,0.0,0.0
2269418,2022-04-08 13:53:34-04:00,2022-04-08 13,2.44,974,16.233333333333334,12.32,12.3,13,58.8,0.0,0.0
1213875,2022-04-06 06:12:00-04:00,2022-04-06 06,1.05,659,10.983333333333333,8.77,8.5,6,47.3,2.1,1.0
2639466,2022-04-09 05:57:52-04:00,2022-04-09 05,15.46,1686,28.1,57.12,33.24,5,48.8,0.0,0.0
2717163,2022-04-09 11:41:21-04:00,2022-04-09 11,7.95,1608,26.8,27.72,23.52,11,51.4,0.2,0.0
658049,2022-04-04 16:47:00-04:00,2022-04-04 16,18.67,4131,68.85,85.44,68.91,16,52.6,0.0,0.0
247740,2022-04-03 14:14:07-04:00,2022-04-03 14,0.94,446,7.433333333333334,8.27,5.45,14,44.4,0.3,0.0
2595553,2022-04-09 01:13:52-04:00,2022-04-09 01,1.98,544,9.066666666666666,11.45,10.35,1,50.6,0.0,0.0
1237245,2022-04-06 07:26:34-04:00,2022-04-06 07,5.7,1140,19.0,25.13,20.85,7,47.8,2.3,5.0
422275,2022-04-03 23:08:16-04:00,2022-04-03 23,13.16,1334,22.233333333333334,33.45,28.85,23,41.5,0.0,4.02
1402163,2022-04-06 15:11:05-04:00,2022-04-06 15,3.64,1363,22.716666666666665,19.51,16.24,15,50.8,0.0,0.0
107136,2022-04-03 06:57:20-04:00,2022-04-03 06,9.87,1256,20.933333333333334,30.73,23.24,6,41.8,0.0,0.0
2811586,2022-04-09 15:34:18-04:00,2022-04-09 15,2.62,1062,17.7,17.43,12.42,15,53.2,0.0,0.0
2261210,2022-04-08 12:05:05-04:00,2022-04-08 12,9.07,2089,34.81666666666667,39.33,35.58,12,57.9,0.0,5.65
2363513,2022-04-08 17:35:26-04:00,2022-04-08 17,0.96,501,8.35,19.09,12.4,17,58.2,0.0,0.0
509786,2022-04-04 08:10:46-04:00,2022-04-04 08,3.01,743,12.383333333333333,14.25,12.65,8,43.8,0.0,0.0
2970715,2022-04-09 21:51:43-04:00,2022-04-09 21,0.55,363,6.05,9.82,7.08,21,49.6,0.0,0.0
2061355,2022-04-07 23:19:27-04:00,2022-04-07 23,7.82,1048,17.466666666666665,22.89,18.39,23,52.6,5.7,0.0
2513593,2022-04-08 22:36:06-04:00,2022-04-08 22,1.54,422,7.033333333333333,19.71,11.35,22,51.5,0.0,0.0
2855675,2022-04-09 17:04:04-04:00,2022-04-09 17,4.42,1330,22.166666666666668,23.3,18.33,17,52.2,0.0,0.0
149257,2022-04-03 10:40:34-04:00,2022-04-03 10,0.61,277,4.616666666666666,8.27,5.4,10,45.8,1.8,0.0
74350,2022-04-03 03:52:49-04:00,2022-04-03 03,8.4,1157,19.283333333333335,47.24,43.25,3,42.2,0.0,12.58
1409651,2022-04-06 15:56:29-04:00,2022-04-06 15,0.99,723,12.05,11.28,7.71,15,50.8,0.0,0.0
1773499,2022-04-07 13:31:18-04:00,2022-04-07 13,2.36,1247,20.783333333333335,18.27,14.02,13,48.8,0.1,0.0
1116606,2022-04-05 21:33:49-04:00,2022-04-05 21,5.03,918,15.3,15.7,13.94,21,48.6,0.1,3.0
1410469,2022-04-06 15:47:54-04:00,2022-04-06 15,1.05,604,10.066666666666666,9.75,7.87,15,50.8,0.0,5.0
1769426,2022-04-07 12:49:11-04:00,2022-04-07 12,1.77,1395,23.25,16.78,15.11,12,48.3,0.2,4.3
2937994,2022-04-09 20:42:34-04:00,2022-04-09 20,2.12,649,10.816666666666666,12.34,10.68,20,50.4,0.0,0.0
2202381,2022-04-08 09:04:16-04:00,2022-04-08 09,4.88,1740,29.0,25.44,21.01,9,51.9,0.0,0.0
2188070,2022-04-08 09:44:31-04:00,2022-04-08 09,5.69,1972,32.86666666666667,27.77,24.0,9,51.9,0.0,0.0
1977679,2022-04-07 20:15:46-04:00,2022-04-07 20,2.5,534,8.9,14.25,20.57,20,52.0,2.9,0.0
1483123,2022-04-06 18:12:00-04:00,2022-04-06 18,2.62,776,12.933333333333334,18.11,12.09,18,50.5,0.0,0.0
951925,2022-04-05 13:19:05-04:00,2022-04-05 13,7.64,1685,28.083333333333332,29.81,24.08,13,52.5,0.0,0.0
414834,2022-04-03 22:23:56-04:00,2022-04-03 22,18.47,1913,31.883333333333333,51.62,41.0,22,41.4,0.0,0.0
2062602,2022-04-07 23:13:08-04:00,2022-04-07 23,0.73,367,6.116666666666666,18.4,17.87,23,52.6,5.7,0.0
867230,2022-04-05 08:01:57-04:00,2022-04-05 08,1.26,358,5.966666666666667,20.26,8.89,8,44.4,0.0,3.4
2185990,2022-04-08 08:20:34-04:00,2022-04-08 08,10.94,1981,33.016666666666666,41.55,31.56,8,50.7,0.0,0.0
2764229,2022-04-09 13:10:49-04:00,2022-04-09 13,5.63,904,15.066666666666666,18.46,17.54,13,52.0,0.2,0.0
2347013,2022-04-08 16:22:04-04:00,2022-04-08 16,3.32,1725,28.75,28.11,19.08,16,60.2,0.0,0.0
2228599,2022-04-08 11:57:15-04:00,2022-04-08 11,3.21,1266,21.1,25.01,15.21,11,56.8,0.0,0.0
1152145,2022-04-05 22:39:34-04:00,2022-04-05 22,1.69,379,6.316666666666666,8.98,6.37,22,47.9,0.3,0.0
2160489,2022-04-08 07:49:42-04:00,2022-04-08 07,4.67,966,16.1,22.26,20.04,7,49.3,0.0,5.53
2857065,2022-04-09 17:21:21-04:00,2022-04-09 17,1.69,619,10.316666666666666,10.56,7.89,17,52.2,0.0,0.0
910039,2022-04-05 10:31:42-04:00,2022-04-05 10,2.75,1072,17.866666666666667,14.89,12.65,10,49.9,0.0,0.0
2507753,2022-04-08 22:48:53-04:00,2022-04-08 22,1.53,533,8.883333333333333,17.02,10.8,22,51.5,0.0,0.0
1070374,2022-04-05 19:47:52-04:00,2022-04-05 19,2.34,635,10.583333333333334,12.98,8.51,19,49.2,0.0,0.0
2180068,2022-04-08 08:53:01-04:00,2022-04-08 08,1.97,555,9.25,11.95,11.8,8,50.7,0.0,1.0
1465778,2022-04-06 18:57:21-04:00,2022-04-06 18,1.04,313,5.216666666666667,9.1,6.68,18,50.5,0.0,0.0
2204146,2022-04-08 09:59:27-04:00,2022-04-08 09,2.31,612,10.2,10.88,8.22,9,51.9,0.0,0.0
2716830,2022-04-09 11:15:31-04:00,2022-04-09 11,4.76,1781,29.683333333333334,23.95,23.24,11,51.4,0.2,0.0
1001768,2022-04-05 15:12:28-04:00,2022-04-05 15,6.61,2709,45.15,28.23,32.73,15,51.7,0.0,0.0
3009181,2022-04-09 22:43:30-04:00,2022-04-09 22,8.02,2193,36.55,34.06,32.77,22,48.2,0.0,0.0
329556,2022-04-03 18:04:04-04:00,2022-04-03 18,5.2,839,13.983333333333333,17.52,15.21,18,46.7,0.1,0.0
2768582,2022-04-09 13:33:54-04:00,2022-04-09 13,4.01,1599,26.65,20.36,18.76,13,52.0,0.2,2.54
2492624,2022-04-08 22:02:19-04:00,2022-04-08 22,4.39,986,16.433333333333334,19.46,14.52,22,51.5,0.0,0.0
2359528,2022-04-08 17:03:19-04:00,2022-04-08 17,7.47,3770,62.833333333333336,34.39,43.08,17,58.2,0.0,0.0
2966148,2022-04-09 21:03:55-04:00,2022-04-09 21,2.42,596,9.933333333333334,12.3,8.17,21,49.6,0.0,0.0
458132,2022-04-04 04:46:48-04:00,2022-04-04 04,9.15,1187,19.783333333333335,41.15,24.95,4,40.6,0.0,0.0
2260750,2022-04-08 12:43:03-04:00,2022-04-08 12,13.45,2524,42.06666666666667,36.52,41.14,12,57.9,0.0,0.0
2561147,2022-04-09 00:32:17-04:00,2022-04-09 00,2.28,967,16.116666666666667,23.24,19.08,0,50.8,0.0,0.0
2133410,2022-04-08 06:55:30-04:00,2022-04-08 06,2.69,941,15.683333333333334,15.3,11.51,6,48.7,0.0,0.0
686366,2022-04-04 17:50:56-04:00,2022-04-04 17,12.43,3776,62.93333333333333,204.24,49.05,17,51.8,0.0,0.0
2505331,2022-04-08 22:08:36-04:00,2022-04-08 22,4.63,1467,24.45,27.3,24.43,22,51.5,0.0,3.32
1540088,2022-04-06 21:22:25-04:00,2022-04-06 21,1.56,525,8.75,10.65,6.5,21,49.8,0.0,0.0
1227623,2022-04-06 07:00:39-04:00,2022-04-06 07,11.85,2224,37.06666666666667,50.7,36.56,7,47.8,2.3,11.9
1569422,2022-04-06 22:22:27-04:00,2022-04-06 22,4.42,1153,19.216666666666665,16.6,16.06,22,48.9,0.0,0.0
1075877,2022-04-05 19:45:37-04:00,2022-04-05 19,40.35,4049,67.48333333333333,122.25,91.36,19,49.2,0.0,0.0
266583,2022-04-03 15:46:08-04:00,2022-04-03 15,0.74,307,5.116666666666666,8.96,5.91,15,45.6,0.1,0.0
2339486,2022-04-08 16:54:26-04:00,2022-04-08 16,1.45,692,11.533333333333333,11.78,7.95,16,60.2,0.0,0.0
2758456,2022-04-09 13:20:50-04:00,2022-04-09 13,2.12,855,14.25,14.21,10.16,13,52.0,0.2,0.0
778546,2022-04-04 22:44:20-04:00,2022-04-04 22,9.34,1655,27.583333333333332,45.15,27.72,22,46.6,0.0,0.0
248389,2022-04-03 14:36:37-04:00,2022-04-03 14,2.8,718,11.966666666666667,15.21,9.58,14,44.4,0.3,4.0
2703342,2022-04-09 10:34:33-04:00,2022-04-09 10,18.89,2507,41.78333333333333,46.38,45.62,10,50.6,0.1,0.0
2991245,2022-04-09 21:57:32-04:00,2022-04-09 21,4.31,1590,26.5,25.37,21.56,21,49.6,0.0,0.0
764273,2022-04-04 22:08:42-04:00,2022-04-04 22,14.54,1703,28.383333333333333,26.2,31.9,22,46.6,0.0,0.0
2491479,2022-04-08 22:31:32-04:00,2022-04-08 22,1.63,474,7.9,7.91,6.07,22,51.5,0.0,3.0
2927568,2022-04-09 19:03:40-04:00,2022-04-09 19,1.66,646,10.766666666666667,22.21,13.06,19,51.4,0.0,0.0
472677,2022-04-04 06:51:34-04:00,2022-04-04 06,5.67,1167,19.45,24.33,16.88,6,40.7,0.0,0.0
1457831,2022-04-06 17:57:32-04:00,2022-04-06 17,1.23,322,5.366666666666666,8.27,5.4,17,51.1,0.0,0.0
1407175,2022-04-06 15:03:19-04:00,2022-04-06 15,1.98,1038,17.3,14.29,11.45,15,50.8,0.0,0.0
2265969,2022-04-08 13:37:19-04:00,2022-04-08 13,0.92,342,5.7,7.91,8.2,13,58.8,0.0,0.0
320701,2022-04-03 17:25:29-04:00,2022-04-03 17,3.64,1238,20.633333333333333,18.63,15.13,17,46.7,0.0,0.0
400668,2022-04-03 21:45:19-04:00,2022-04-03 21,7.12,1319,21.983333333333334,28.62,22.96,21,43.0,0.0,0.0
2189183,2022-04-08 09:00:15-04:00,2022-04-08 09,2.87,1022,17.033333333333335,19.69,12.99,9,51.9,0.0,0.0
226946,2022-04-03 13:40:04-04:00,2022-04-03 13,14.04,1968,32.8,44.6,34.54,13,45.5,0.3,0.0
1691410,2022-04-07 09:00:40-04:00,2022-04-07 09,2.2,675,11.25,14.06,8.52,9,48.0,0.0,0.0
551355,2022-04-04 10:39:01-04:00,2022-04-04 10,2.36,830,13.833333333333334,13.08,10.06,10,48.0,0.0,3.0
1402919,2022-04-06 15:12:45-04:00,2022-04-06 15,5.65,1830,30.5,42.65,24.72,15,50.8,0.0,5.04
2310475,2022-04-08 15:44:58-04:00,2022-04-08 15,1.76,930,15.5,12.27,10.24,15,60.2,0.0,0.0
2395518,2022-04-08 18:01:06-04:00,2022-04-08 18,1.06,319,5.316666666666666,8.69,7.1,18,56.9,0.0,0.0
2623776,2022-04-09 03:02:41-04:00,2022-04-09 03,13.13,2828,47.13333333333333,49.06,40.19,3,49.4,0.1,0.0
1107014,2022-04-05 20:23:01-04:00,2022-04-05 20,4.52,1564,26.066666666666666,25.53,20.25,20,48.9,0.0,0.0
2933214,2022-04-09 20:21:53-04:00,2022-04-09 20,1.16,501,8.35,14.31,7.46,20,50.4,0.0,5.0
372457,2022-04-03 20:08:54-04:00,2022-04-03 20,1.61,604,10.066666666666666,10.48,9.42,20,44.6,0.0,1.0
1930752,2022-04-07 18:35:29-04:00,2022-04-07 18,76.52,7966,132.76666666666668,255.62,196.23,18,51.2,0.9,60.0
2049518,2022-04-07 22:59:59-04:00,2022-04-07 22,1.06,371,6.183333333333334,7.91,10.05,22,52.6,4.2,0.0
2360062,2022-04-08 17:32:33-04:00,2022-04-08 17,3.7,2076,34.6,25.36,23.39,17,58.2,0.0,0.0
1572686,2022-04-06 22:33:58-04:00,2022-04-06 22,1.23,534,8.9,18.52,18.14,22,48.9,0.0,0.0
2148445,2022-04-08 07:58:51-04:00,2022-04-08 07,2.42,875,14.583333333333334,18.83,14.07,7,49.3,0.0,0.0
751238,2022-04-04 21:46:00-04:00,2022-04-04 21,1.86,653,10.883333333333333,18.03,15.98,21,48.9,0.0,0.0
166483,2022-04-03 11:25:44-04:00,2022-04-03 11,0.53,184,3.066666666666667,8.27,5.4,11,45.5,1.0,0.0
435729,2022-04-04 00:10:36-04:00,2022-04-04 00,0.6,271,4.516666666666667,8.27,6.17,0,41.0,0.0,0.0
1613967,2022-04-07 02:03:59-04:00,2022-04-07 02,3.26,745,12.416666666666666,19.23,10.44,2,47.5,0.0,0.0
22334,2022-04-03 00:52:47-04:00,2022-04-03 00,4.43,1142,19.033333333333335,25.88,15.22,0,43.1,0.0,0.0
2986704,2022-04-09 21:11:31-04:00,2022-04-09 21,1.75,695,11.583333333333334,25.52,14.4,21,49.6,0.0,0.0
2452813,2022-04-08 20:29:29-04:00,2022-04-08 20,1.49,442,7.366666666666666,14.6,11.92,20,54.5,0.0,0.0
909253,2022-04-05 10:29:35-04:00,2022-04-05 10,0.55,326,5.433333333333334,8.27,5.39,10,49.9,0.0,0.0
2823648,2022-04-09 15:30:11-04:00,2022-04-09 15,0.45,281,4.683333333333334,7.19,9.0,15,53.2,0.0,0.0
1930915,2022-04-07 18:12:38-04:00,2022-04-07 18,3.68,2074,34.56666666666667,35.05,33.97,18,51.2,0.9,4.19
621751,2022-04-04 14:03:30-04:00,2022-04-04 14,0.77,461,7.683333333333334,8.27,6.97,14,52.1,0.0,0.0
1143619,2022-04-05 22:55:47-04:00,2022-04-05 22,3.24,910,15.166666666666666,15.61,16.13,22,47.9,0.3,4.0
418985,2022-04-03 22:52:36-04:00,2022-04-03 22,1.18,317,5.283333333333333,7.91,5.39,22,41.4,0.0,0.0
515400,2022-04-04 08:09:33-04:00,2022-04-04 08,1.59,836,13.933333333333334,16.82,10.65,8,43.8,0.0,0.0
2279881,2022-04-08 13:50:44-04:00,2022-04-08 13,1.49,838,13.966666666666667,15.75,13.16,13,58.8,0.0,0.0
2934054,2022-04-09 20:35:13-04:00,2022-04-09 20,2.7,367,6.116666666666666,8.82,7.99,20,50.4,0.0,0.0
1418148,2022-04-06 15:59:26-04:00,2022-04-06 15,2.02,937,15.616666666666667,16.44,12.9,15,50.8,0.0,0.0
2159843,2022-04-08 07:14:25-04:00,2022-04-08 07,1.51,593,9.883333333333333,9.88,13.86,7,49.3,0.0,0.0
499780,2022-04-04 07:00:50-04:00,2022-04-04 07,1.44,370,6.166666666666667,8.27,5.68,7,42.2,0.0,0.0
2301302,2022-04-08 14:18:03-04:00,2022-04-08 14,17.86,3666,61.1,56.09,55.19,14,59.7,0.0,0.0
1006839,2022-04-05 16:02:16-04:00,2022-04-05 16,0.84,309,5.15,8.27,6.06,16,50.9,0.0,1.0
2028303,2022-04-07 21:08:14-04:00,2022-04-07 21,2.18,729,12.15,13.93,10.19,21,52.5,3.4,0.0
352349,2022-04-03 19:11:59-04:00,2022-04-03 19,1.09,335,5.583333333333333,7.12,8.67,19,45.2,0.5,1.0
967770,2022-04-05 14:06:29-04:00,2022-04-05 14,1.59,434,7.233333333333333,8.98,6.43,14,52.2,0.0,0.0
2198029,2022-04-08 09:42:31-04:00,2022-04-08 09,5.0,2087,34.78333333333333,29.07,25.68,9,51.9,0.0,25.0
1957507,2022-04-07 19:24:03-04:00,2022-04-07 19,11.75,2356,39.266666666666666,44.67,38.74,19,51.4,1.8,0.0
1006624,2022-04-05 16:53:46-04:00,2022-04-05 16,3.33,968,16.133333333333333,18.23,13.07,16,50.9,0.0,0.0
2406368,2022-04-08 19:09:43-04:00,2022-04-08 19,3.18,1058,17.633333333333333,20.35,19.11,19,55.7,0.0,0.0
884402,2022-04-05 09:39:18-04:00,2022-04-05 09,1.16,417,6.95,8.28,5.4,9,46.6,0.0,0.0
1593479,2022-04-06 23:14:39-04:00,2022-04-06 23,0.87,204,3.4,7.86,7.02,23,48.7,0.0,0.0
1525323,2022-04-06 20:37:20-04:00,2022-04-06 20,1.84,798,13.3,14.1,11.75,20,50.0,0.0,0.0
318898,2022-04-03 17:25:09-04:00,2022-04-03 17,1.68,553,9.216666666666667,11.05,8.67,17,46.7,0.0,0.0
708350,2022-04-04 19:36:43-04:00,2022-04-04 19,3.2,973,16.216666666666665,17.49,15.04,19,50.9,0.0,0.0
3007390,2022-04-09 22:56:29-04:00,2022-04-09 22,1.86,402,6.7,11.24,7.03,22,48.2,0.0,0.0
2565319,2022-04-09 00:40:19-04:00,2022-04-09 00,13.05,2119,35.31666666666667,37.98,35.75,0,50.8,0.0,0.0
916938,2022-04-05 11:01:30-04:00,2022-04-05 11,1.15,591,9.85,9.72,7.34,11,51.0,0.0,0.0
802900,2022-04-05 01:16:25-04:00,2022-04-05 01,6.98,1039,17.316666666666666,26.83,17.43,1,43.2,0.0,0.0
2955091,2022-04-09 20:23:35-04:00,2022-04-09 20,5.79,1322,22.033333333333335,28.08,26.18,20,50.4,0.0,0.0
1433298,2022-04-06 16:47:59-04:00,2022-04-06 16,4.59,1058,17.633333333333333,19.03,15.71,16,51.4,0.0,0.0
2564273,2022-04-09 00:45:21-04:00,2022-04-09 00,1.46,599,9.983333333333333,7.51,10.8,0,50.8,0.0,0.0
1056805,2022-04-05 18:23:28-04:00,2022-04-05 18,10.47,1760,29.333333333333332,45.57,32.65,18,49.4,0.0,6.34
1137428,2022-04-05 22:35:01-04:00,2022-04-05 22,4.97,1298,21.633333333333333,68.82,39.27,22,47.9,0.3,0.0
1599129,2022-04-07 00:21:12-04:00,2022-04-07 00,1.04,488,8.133333333333333,8.64,5.95,0,47.8,0.0,0.0
